asset_uid,asset_code,asset_name,asset_type,category,configuration_details,quantity,rate,warranty_end_date,warranty_end_year,purchase_date,po_invoice_bill_no,po_invoice_bill_path,tagname_hostname,serial_number,vendor_name,assigned_to,asset_location,status,remarks,source_sheet,source_row,duplicate_warning,live_sync_status,live_hostname,live_machine_id,live_last_seen
HW-2DB88C8BE4,NXT-HED-10,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,10,,,Laptop/Headphone Master,,,Sheet2,26,duplicate merged from Headphone Details row 14,not_checked,,,
HW-47008425EE,NXT-HED-11,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,11,,,Laptop/Headphone Master,,,Sheet2,27,duplicate merged from Headphone Details row 15,not_checked,,,
HW-117D6760EC,NXT-HED-12,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,12,,,Laptop/Headphone Master,,,Sheet2,28,duplicate merged from Headphone Details row 16,not_checked,,,
HW-B1D95B2DE2,NXT-HED-13,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,13,,,Laptop/Headphone Master,,,Sheet2,29,duplicate merged from Headphone Details row 17,not_checked,,,
HW-F864DEE48A,NXT-HED-14,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,14,,,Laptop/Headphone Master,,,Sheet2,30,duplicate merged from Headphone Details row 18,not_checked,,,
HW-09722B535D,NXT-HED-15,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,15,,,Laptop/Headphone Master,,,Sheet2,31,duplicate merged from Headphone Details row 19,not_checked,,,
HW-EA1E4E8B53,NXT-HED-16,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,16,,,Laptop/Headphone Master,,,Sheet2,32,duplicate merged from Headphone Details row 20,not_checked,,,
HW-58437EEFCF,NXT-HED-17,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,17,,,Laptop/Headphone Master,,,Sheet2,33,duplicate merged from Headphone Details row 21,not_checked,,,
HW-10B308D7B4,NXT-HED-18,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,18,,,Laptop/Headphone Master,,,Sheet2,34,duplicate merged from Headphone Details row 22,not_checked,,,
HW-EF284FE46B,NXT-HED-19,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,19,,,Laptop/Headphone Master,,,Sheet2,35,duplicate merged from Headphone Details row 23,not_checked,,,
HW-3049B93ECD,NXT-HED-20,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,20,,,Laptop/Headphone Master,,,Sheet2,36,duplicate merged from Headphone Details row 24,not_checked,,,
HW-5F41ED134C,NXT-HED-21,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,21,,,Laptop/Headphone Master,,,Sheet2,37,duplicate merged from Headphone Details row 25,not_checked,,,
HW-92CF88335A,NXT-HED-22,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,22,,,Laptop/Headphone Master,,,Sheet2,38,duplicate merged from Headphone Details row 26,not_checked,,,
HW-C6317ADFC2,NXT-HED-23,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,23,,,Laptop/Headphone Master,,,Sheet2,39,duplicate merged from Headphone Details row 27,not_checked,,,
HW-AD55B57AFC,NXT-HED-24,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,24,,,Laptop/Headphone Master,,,Sheet2,40,duplicate merged from Headphone Details row 28,not_checked,,,
HW-BC7B631BFE,NXT-HED-25,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,25,,,Laptop/Headphone Master,,,Sheet2,41,duplicate merged from Headphone Details row 29,not_checked,,,
HW-48CB490E38,NXT-HED-26,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,26,,,Laptop/Headphone Master,,,Sheet2,42,duplicate merged from Headphone Details row 30,not_checked,,,
